"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","LNT","Alliant Energy","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01",352541,"1917","company-A"
"2","PPL","PPL Corporation","Utilities","Electric Utilities","Allentown, Pennsylvania","2001-10-01",922224,"1920","company-B"
