"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","DOV","Dover Corporation","Industrials","Industrial Machinery & Supplies & Components","Downers Grove, Illinois","1985-10-31",29905,"1955","company-A"
"2","XYL","Xylem Inc.","Industrials","Industrial Machinery & Supplies & Components","White Plains, New York","2011-11-01",1524472,"2011","company-B"
