"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","PEAK","Healthpeak","Real Estate","Health Care REITs","Long Beach, California","2008-03-31",765880,"1985","company-A"
"2","VTR","Ventas","Real Estate","Health Care REITs","Chicago, Illinois","2009-03-04",740260,"1998","company-B"
