"Index" "COP.Open" "COP.High" "COP.Low" "COP.Close" "COP.Volume" "COP.Adjusted"
"2007-01-03" 54.353172 54.505634 51.761295 51.982365 27097929 29.391687
"2007-01-04" 51.15144 51.44112 49.649677 50.366257 35752601 28.477905
"2007-01-05" 50.846516 51.570717 50.366257 51.395382 21196837 29.059795
"2007-01-08" 51.913757 52.272045 51.15144 52.066219 21997948 29.439095
"2007-01-09" 51.075211 51.570717 50.625443 50.701675 26330269 28.667574
"2007-01-10" 50.312893 51.227673 49.085564 49.192287 30872608 27.814142
"2007-01-11" 48.407101 49.12368 46.951077 47.126411 43260637 26.646057
"2007-01-12" 47.629539 48.780636 47.484699 48.658665 25158840 27.512417
"2007-01-16" 48.696781 48.994083 47.644787 47.881104 22196160 27.072771
"2007-01-17" 47.804871 48.841621 47.804871 48.445217 23623126 27.391739
"2007-01-18" 48.826378 49.093185 47.583801 47.728642 20948515 26.986582
"2007-01-19" 48.025944 48.963593 47.995449 48.750145 18354973 27.564138
"2007-01-22" 49.093185 49.222778 48.125046 48.315624 17610794 27.318459
"2007-01-23" 48.681534 49.786896 48.536694 49.527706 20757912 28.00379
"2007-01-24" 49.550575 50.175674 49.131302 50.023212 16555327 28.283958
"2007-01-25" 50.023212 50.053703 48.727276 48.834 12395769 27.611559
"2007-01-26" 49.138924 49.63443 48.856869 49.375244 11096309 27.917582
"2007-01-29" 49.512459 49.885998 49.138924 49.260895 12873786 27.852921
"2007-01-30" 49.497215 50.1833 49.359997 50.046082 14656903 28.296881
"2007-01-31" 49.992722 50.800774 49.664925 50.625443 20985639 28.624472
"2007-02-01" 50.846516 51.395382 50.572079 51.311527 18305519 29.012388
"2007-02-02" 51.342018 51.479237 50.709297 51.29628 9122851 29.003754
"2007-02-05" 51.380135 51.662193 50.98373 51.105701 8588427 28.896011
"2007-02-06" 51.593586 51.730801 50.49585 50.800774 10935614 28.723606
"2007-02-07" 50.953239 51.029469 50.137562 50.488228 13050877 28.546879
"2007-02-08" 50.47298 51.174313 50.015591 50.976109 13042351 28.822729
"2007-02-09" 51.075211 51.326775 50.716923 51.067585 12404952 28.874462
"2007-02-12" 50.389126 50.892254 50.084198 50.335762 11896370 28.460676
"2007-02-13" 50.427238 51.342018 50.427238 51.281036 12818428 28.995144
"2007-02-14" 51.258163 51.913757 51.227673 51.425877 12464769 29.077038
"2007-02-15" 51.136196 51.143818 50.137562 50.434864 13664402 28.69108
"2007-02-16" 50.168053 50.617821 50.122314 50.427238 9262425 28.68676
"2007-02-20" 50.015591 50.046082 49.565823 49.992722 9518618 28.439558
"2007-02-21" 49.939358 50.587326 49.299011 50.533966 14115134 28.747459
"2007-02-22" 50.533966 51.052341 50.007965 50.98373 11803627 29.003326
"2007-02-23" 51.281036 51.639324 51.15144 51.227673 11579310 29.142086
"2007-02-26" 51.524975 52.172943 51.425877 51.807034 10336257 29.471678
"2007-02-27" 50.998978 51.479237 48.795883 49.588692 22189338 28.209724
"2007-02-28" 49.931736 50.648312 49.283764 49.794518 18449160 28.326807
"2007-03-01" 49.481968 50.572079 48.994083 50.274776 18910254 28.600008
"2007-03-02" 50.076576 50.305271 49.17704 49.497215 14175082 28.157681
"2007-03-05" 48.872116 50.076576 48.658665 49.161797 16213737 27.966877
"2007-03-06" 49.573444 50.282398 49.466721 50.175674 12598834 28.543644
"2007-03-07" 50.175674 52.409264 50.09182 51.197182 21467329 29.12475
"2007-03-08" 51.685062 51.944248 51.250542 51.509731 13201733 29.302547
"2007-03-09" 51.959496 52.066219 51.403008 51.685062 15994274 29.402277
"2007-03-12" 51.075211 51.631699 50.922745 51.258163 14047445 29.159433
"2007-03-13" 51.143818 52.172943 50.739792 50.762661 16996614 28.87755
"2007-03-14" 51.029469 51.799412 50.213791 51.768917 20495554 29.449999
"2007-03-15" 51.456367 51.601208 50.663559 50.709297 17054857 28.847204
"2007-03-16" 50.701675 50.800774 49.687794 49.809765 18978861 28.335487
"2007-03-19" 50.053703 50.434864 49.63443 50.046082 19416081 28.469919
"2007-03-20" 50.244286 50.625443 49.527706 50.54921 16360789 28.75613
"2007-03-21" 50.678806 51.494484 50.503471 51.204803 14972782 29.129091
"2007-03-22" 51.433498 52.859032 51.433498 52.3559 21206151 29.783901
"2007-03-23" 52.752308 53.240189 52.371147 52.790421 14397300 30.031097
"2007-03-26" 52.988625 53.385029 52.576973 53.026741 13499904 30.165535
"2007-03-27" 52.836163 53.156334 52.599842 52.965755 10996744 30.13085
"2007-03-28" 53.301174 53.735695 51.5326 52.782799 15348742 30.026768
"2007-03-29" 53.202072 53.24781 52.493118 52.729435 14241328 29.99641
"2007-03-30" 52.432133 52.660828 51.837524 52.104336 14176001 29.640806
"2007-04-02" 52.226307 52.424511 51.685062 51.982365 13252631 29.571424
"2007-04-03" 51.563091 52.089088 51.227673 51.715553 13470651 29.419624
"2007-04-04" 51.44112 51.791786 50.793152 51.639324 14998625 29.376274
"2007-04-05" 51.593586 52.111961 51.342018 51.807034 9081267 29.471678
"2007-04-09" 51.090454 52.721813 50.49585 52.1577 12707057 29.671169
"2007-04-10" 52.3559 53.209698 52.3559 52.942886 15897202 30.117838
"2007-04-11" 53.171581 53.331665 52.615089 52.775173 14216404 30.02244
"2007-04-12" 53.125839 53.811928 52.630337 53.735695 15600737 30.568834
"2007-04-13" 53.750942 53.949142 53.232567 53.773811 12914451 30.590532
"2007-04-16" 53.941521 53.987259 53.255436 53.81955 10367215 30.616556
"2007-04-17" 53.903404 54.25407 53.385029 53.689957 12064017 30.542814
"2007-04-18" 53.308796 53.430767 52.95813 53.240189 10414440 30.286963
"2007-04-19" 52.798046 53.080101 52.477871 52.81329 8786114 30.044102
"2007-04-20" 53.400276 54.368416 52.881901 54.315056 16229216 30.898417
"2007-04-23" 54.086361 54.627605 53.659462 53.81955 17301343 30.616556
"2007-04-24" 53.468884 53.834797 52.90477 53.087727 14245919 30.200235
"2007-04-25" 53.270679 54.299809 52.630337 53.987259 18387374 30.711948
"2007-04-26" 53.19445 54.124477 53.19445 53.918652 12953936 30.672935
"2007-04-27" 53.667088 53.827171 52.965755 53.392651 11577343 30.373703
"2007-04-30" 53.095348 53.926273 52.698944 52.866653 14266252 30.074465
"2007-05-01" 52.836163 53.285927 52.394016 52.744682 12722405 30.005081
"2007-05-02" 52.75993 53.110596 52.371147 52.920013 12135903 30.10483
"2007-05-03" 52.729435 53.56036 52.584595 53.354534 18584668 30.352013
