"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","BK","BNY Mellon","Financials","Asset Management & Custody Banks","New York City, New York","1995-03-31",1390777,"1784","company-A"
"2","BEN","Franklin Templeton","Financials","Asset Management & Custody Banks","San Mateo, California","1998-04-30",38777,"1947","company-B"
