"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","FAST","Fastenal","Industrials","Building Products","Winona, Minnesota","2008-09-15",815556,"1967","company-A"
"2","CARR","Carrier Global","Industrials","Building Products","Palm Beach Gardens, Florida","2020-04-03",1783180,"2020 (1915)","company-B"
