"Index" "VTR.Open" "VTR.High" "VTR.Low" "VTR.Close" "VTR.Volume" "VTR.Adjusted"
"2007-01-03" 48.327053 48.384151 47.619049 47.836018 859850 21.987642
"2007-01-04" 47.961632 47.961632 47.185108 47.801758 654323 21.971893
"2007-01-05" 47.801758 47.836018 47.059494 47.207947 719037 21.698946
"2007-01-08" 47.390659 47.390659 46.876785 47.299301 614304 21.74094
"2007-01-09" 47.561951 48.075825 46.716911 47.904533 1125537 22.019144
"2007-01-10" 47.698982 48.075825 47.470596 48.075825 543197 22.09786
"2007-01-11" 48.064407 48.623959 48.007309 48.269955 445644 22.187103
"2007-01-12" 48.212856 48.669636 48.087242 48.658215 445819 22.365559
"2007-01-16" 47.961632 49.309124 47.836018 49.274864 3011182 22.649002
"2007-01-17" 49.21777 49.880096 49.092155 49.400478 673413 22.706739
"2007-01-18" 49.400478 49.560352 49.000797 49.423317 830864 22.717239
"2007-01-19" 49.423317 49.503254 49.02364 49.309124 498098 22.664759
"2007-01-22" 49.37764 49.902935 49.02364 49.754482 1043659 22.869457
"2007-01-23" 49.526093 50.245518 49.274864 50.017128 621134 22.990179
"2007-01-24" 50.302616 50.793652 49.994289 50.759392 534615 23.331366
"2007-01-25" 50.999203 51.535915 50.610939 51.318947 586106 23.588562
"2007-01-26" 51.318947 51.455978 51.01062 51.410301 495559 23.630552
"2007-01-29" 51.181911 51.684368 51.136234 51.581593 580326 23.709286
"2007-01-30" 51.558754 52.438049 51.444557 52.392372 614829 24.081947
"2007-01-31" 52.517986 53.088959 52.095467 52.814892 908889 24.276163
"2007-02-01" 52.986183 53.26025 52.723534 53.100376 683922 24.407389
"2007-02-02" 53.431541 53.717026 53.317345 53.671349 780336 24.669825
"2007-02-05" 53.717026 53.911156 53.637089 53.80838 339859 24.732815
"2007-02-06" 53.80838 54.185223 53.671349 53.956837 830339 24.801052
"2007-02-07" 53.956837 54.470711 53.659927 54.470711 839446 25.037256
"2007-02-08" 54.756195 54.779034 53.8769 54.03677 806607 24.837797
"2007-02-09" 53.717026 54.059608 52.084045 53.283089 1335092 24.491371
"2007-02-12" 53.088959 53.088959 51.855659 52.883408 894090 24.307646
"2007-02-13" 52.757793 53.465797 52.346695 53.328766 757568 24.512356
"2007-02-14" 53.214573 53.8769 53.043282 53.694187 473403 24.680332
"2007-02-15" 53.100376 53.351604 52.575085 52.860569 1828987 24.297146
"2007-02-16" 52.929085 53.317345 52.700699 52.986183 645916 24.3549
"2007-02-20" 53.06612 53.968254 52.769215 53.945415 566140 24.795799
