"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","DTE","DTE Energy","Utilities","Multi-Utilities","Detroit, Michigan","1957-03-04",936340,"1995","company-A"
"2","CMS","CMS Energy","Utilities","Multi-Utilities","Jackson, Michigan","1957-03-04",811156,"1886","company-B"
