"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","CHD","Church & Dwight","Consumer Staples","Household Products","Ewing, New Jersey","2015-12-29",313927,"1847","company-A"
"2","KMB","Kimberly-Clark","Consumer Staples","Household Products","Irving, Texas","1957-03-04",55785,"1872","company-B"
