"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","SO","Southern Company","Utilities","Electric Utilities","Atlanta, Georgia","1957-03-04",92122,"1945","company-A"
"2","FE","FirstEnergy","Utilities","Electric Utilities","Akron, Ohio","1997-11-28",1031296,"1997","company-B"
