"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","MSFT","Microsoft","Information Technology","Systems Software","Redmond, Washington","1994-06-01",789019,"1975","company-A"
"2","FTNT","Fortinet","Information Technology","Systems Software","Sunnyvale, California","2018-10-11",1262039,"2000","company-B"
