"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","DLTR","Dollar Tree","Consumer Staples","Consumer Staples Merchandise Retail","Chesapeake, Virginia","2011-12-19",935703,"1986","company-A"
"2","TGT","Target Corporation","Consumer Staples","Consumer Staples Merchandise Retail","Minneapolis, Minnesota","1976-12-31",27419,"1902","company-B"
