"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04",1163165,"2002","company-A"
"2","EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02",821189,"1999","company-B"
