"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","NI","NiSource","Utilities","Multi-Utilities","Merrillville, Indiana","2000-11-02",1111711,"1912","company-A"
"2","DTE","DTE Energy","Utilities","Multi-Utilities","Detroit, Michigan","1957-03-04",936340,"1995","company-B"
