"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","ICE","Intercontinental Exchange","Financials","Financial Exchanges & Data","Atlanta, Georgia","2007-09-26",1571949,"2000","company-A"
"2","MSCI","MSCI","Financials","Financial Exchanges & Data","New York City, New York","2018-04-04",1408198,"1969","company-B"
