"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","WFC","Wells Fargo","Financials","Diversified Banks","San Francisco, California","1976-06-30",72971,"1852","company-A"
"2","USB","U.S. Bank","Financials","Diversified Banks","Minneapolis, Minnesota","",36104,"1968","company-B"
