"Index" "PNR.Open" "PNR.High" "PNR.Low" "PNR.Close" "PNR.Volume" "PNR.Adjusted"
"2007-01-03" 20.416388 20.866352 19.879112 20.18133 3390304 14.607353
"2007-01-04" 20.11417 20.62458 19.88583 20.597717 2816295 14.90874
"2007-01-05" 20.570852 20.591002 20.18133 20.248489 1139978 14.655965
"2007-01-08" 20.18133 20.288784 19.845533 20.201477 1081610 14.621932
"2007-01-09" 20.248489 20.322365 20.060444 20.127602 1029941 14.568465
"2007-01-10" 20.060444 20.389523 20 20.315647 1380303 14.704569
"2007-01-11" 20.416388 20.62458 20.355944 20.591002 1181670 14.903877
"2007-01-12" 20.584286 20.7589 20.147751 20.248489 1520567 14.655965
"2007-01-16" 20.147751 20.349228 20.033581 20.120888 1163505 14.563599
"2007-01-17" 20.080591 20.248489 20.033581 20.087307 845454 14.539298
"2007-01-18" 20.100739 20.429819 20.100739 20.288784 939261 14.685127
"2007-01-19" 20.201477 20.443251 20.147751 20.342512 1507761 14.724022
"2007-01-22" 20.315647 20.342512 20.073875 20.302216 1024134 14.694848
"2007-01-23" 20.235058 20.550705 20.235058 20.409672 645482 14.772625
"2007-01-24" 20.329081 20.449966 20.261921 20.342512 452209 14.797058
"2007-01-25" 20.282068 20.349228 19.912693 20 819843 14.547909
"2007-01-26" 20.013432 20.127602 19.905977 20.100739 988547 14.621189
"2007-01-29" 20.147751 20.557421 20.120888 20.402954 1267288 14.841021
"2007-01-30" 20.483545 20.617865 20.2955 20.611149 740778 14.992458
"2007-01-31" 20.503695 20.967093 20.496979 20.926798 1463687 15.222057
"2007-02-01" 21.067831 21.31632 20.940228 20.973808 1239444 15.25625
"2007-02-02" 20.973808 21.490934 20.879786 21.16857 2151009 15.397922
"2007-02-05" 21.020819 21.16857 20.799194 21.081263 948046 15.334418
"2007-02-06" 21.497648 22.122231 21.490934 21.692411 2376891 15.77896
"2007-02-07" 21.558092 21.799866 21.490934 21.537945 1564939 15.666608
"2007-02-08" 21.490934 21.490934 21.148422 21.202148 1234828 15.422356
"2007-02-09" 21.323036 21.323036 20.893217 20.953659 848432 15.241601
"2007-02-12" 20.940228 21.108126 20.926798 21.094694 719038 15.344187
"2007-02-13" 21.235729 21.302889 21.000671 21.128275 998821 15.368612
"2007-02-14" 21.094694 21.356615 20.967093 21.343184 681813 15.524938
"2007-02-15" 21.376762 22.310274 21.296171 22.169241 1804519 16.125803
"2007-02-16" 22.175957 22.249832 21.981195 22.014774 1227681 16.013447
"2007-02-20" 21.954332 22.196104 21.766287 22.115515 731397 16.086731
"2007-02-21" 22.102081 22.269979 22.055071 22.202822 455187 16.150232
"2007-02-22" 22.196104 22.236401 21.934183 22.055071 497177 16.042765
"2007-02-23" 22.095366 22.108797 21.833445 22.048355 596791 16.037886
"2007-02-26" 22.182673 22.236401 21.67898 21.981195 1207728 15.98902
"2007-02-27" 21.67898 21.67898 20.772329 20.98724 1315085 15.266029
"2007-02-28" 21.027534 21.242445 20.852921 20.960377 905759 15.246487
"2007-03-01" 20.98724 21.302889 20.685024 21.195433 1187775 15.417464
"2007-03-02" 21.067831 21.094694 20.7589 20.826057 923627 15.148779
"2007-03-05" 20.570852 20.745466 20.416388 20.456682 850219 14.880095
"2007-03-06" 20.745466 20.745466 19.926125 20.147751 2537405 14.655387
"2007-03-07" 20.315647 20.611149 20.11417 20.127602 1746746 14.640729
"2007-03-08" 20.302216 20.396238 20.214909 20.302216 975444 14.767739
"2007-03-09" 20.463398 20.577568 20.154467 20.235058 965617 14.71889
"2007-03-12" 20.288784 20.329081 20.141033 20.22834 829373 14.714008
"2007-03-13" 20.147751 20.221624 19.905977 19.919409 792744 14.489291
"2007-03-14" 19.966419 20.235058 19.717932 19.899261 1560621 14.474633
"2007-03-15" 19.919409 20.147751 19.879112 19.95299 1083545 14.513719
"2007-03-16" 19.95299 19.966419 19.711216 19.811954 1062997 14.411125
"2007-03-19" 19.865683 20.073875 19.838818 19.973137 1300642 14.528369
"2007-03-20" 20.026863 20.127602 19.899261 19.939556 1639538 14.503943
"2007-03-21" 19.912693 20.483545 19.912693 20.470114 1108114 14.889867
"2007-03-22" 20.483545 20.718603 20.416388 20.543989 699830 14.943602
"2007-03-23" 20.658159 20.691738 20.349228 20.570852 761772 14.963149
"2007-03-26" 20.638012 20.651443 20.2955 20.631296 1003437 15.007114
"2007-03-27" 20.617865 20.651443 20.376091 20.584286 1067315 14.972915
"2007-03-28" 20.584286 21.074547 20.349228 20.685024 1592783 15.046199
"2007-03-29" 20.819342 20.846207 20.570852 20.711887 1164547 15.06573
"2007-03-30" 20.711887 20.946943 20.711887 20.926798 834733 15.222057
"2007-04-02" 21.020819 21.087978 20.772329 20.926798 720974 15.222057
"2007-04-03" 21.027534 21.222298 20.926798 21.007387 781874 15.280676
"2007-04-04" 20.953659 21.242445 20.792479 20.852921 604534 15.168325
"2007-04-05" 20.752184 20.826057 20.664877 20.765615 465313 15.104817
"2007-04-09" 20.752184 20.772329 20.631296 20.658159 515641 15.026649
"2007-04-10" 20.664877 20.732035 20.376091 20.483545 984825 14.899645
"2007-04-11" 20.443251 20.523842 20.349228 20.423103 1087715 14.855675
"2007-04-12" 20.423103 20.423103 20.208193 20.416388 1054808 14.850787
"2007-04-13" 20.517126 20.705172 20.429819 20.705172 1061806 15.060849
"2007-04-16" 20.852921 21.087978 20.819342 21.087978 854835 15.339302
"2007-04-17" 21.155138 21.255877 21.040968 21.155138 804953 15.388158
"2007-04-18" 20.993956 21.020819 20.651443 20.859636 1673934 15.173208
"2007-04-19" 20.718603 20.886501 20.644728 20.785763 1191647 15.119478
"2007-04-20" 20.846207 21.027534 20.785763 20.980524 907248 15.261142
