"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","JCI","Johnson Controls","Industrials","Building Products","Cork, Ireland","2010-08-27",833444,"1885","company-A"
"2","ALLE","Allegion","Industrials","Building Products","New York City, New York","2013-12-02",1579241,"1908","company-B"
