"Index" "ALLE.Open" "ALLE.High" "ALLE.Low" "ALLE.Close" "ALLE.Volume" "ALLE.Adjusted"
"2013-11-18" 49.75 50 47.490002 48.48 587100 44.246628
"2013-11-19" 48.990002 49 45.299999 45.799999 1682000 41.800663
"2013-11-20" 45.98 46 43.990002 44.650002 1106900 40.751099
"2013-11-21" 44.5 45.150002 43.040001 43.790001 730200 39.96619
"2013-11-22" 43.900002 44.099998 43.25 43.990002 947600 40.14872
"2013-11-25" 44.279999 45.619999 43.700001 44.18 727300 40.322132
"2013-11-26" 45 45 43.040001 43.200001 873700 39.427708
"2013-11-27" 43.549999 43.549999 42.5 43.240002 1153300 39.464214
"2013-11-29" 42.75 43.849998 42.75 43.240002 949900 39.464214
"2013-12-02" 43.080002 43.669998 41.52 43.139999 5130700 39.372952
"2013-12-03" 42.799999 44.849998 42.700001 42.900002 3239300 39.153896
"2013-12-04" 42.43 42.610001 41.650002 41.830002 2777700 38.177341
"2013-12-05" 42.279999 42.279999 40.630001 41.049999 3380500 37.465446
"2013-12-06" 40.75 41.060001 40.639999 40.700001 4662300 37.146008
"2013-12-09" 40.700001 41.27 40.240002 41.18 3074000 37.584087
"2013-12-10" 41.07 42.84 41.040001 42.560001 3289400 38.843601
"2013-12-11" 42.32 43.02 42 42.459999 3367300 38.752319
"2013-12-12" 42.009998 43.099998 42 42.970001 1770500 39.217793
"2013-12-13" 42.919998 43.799999 42.919998 43.25 683800 39.473339
"2013-12-16" 43.009998 43.990002 42.110001 43.689999 1953900 39.87492
"2013-12-17" 43.43 44 43.16 43.75 1396700 39.929676
"2013-12-18" 43.650002 44.5 43.099998 44.27 1225200 40.40427
"2013-12-19" 43.959999 44.5 43.82 44.450001 593000 40.568562
"2013-12-20" 44.299999 44.450001 43.91 44.259998 2878600 40.395134
"2013-12-23" 44.169998 44.849998 43.549999 44.650002 773600 40.751099
"2013-12-24" 44.759998 45.02 44.25 44.580002 304700 40.687202
"2013-12-26" 44.860001 45.009998 44.439999 44.700001 513200 40.796722
"2013-12-27" 44.77 44.970001 44.09 44.639999 393300 40.741962
"2013-12-30" 44.450001 44.880001 44 44.119999 381500 40.267376
"2013-12-31" 44.23 44.5 43.759998 44.189999 874200 40.331264
"2014-01-02" 44.080002 44.18 43.27 43.650002 992900 39.838406
"2014-01-03" 43.57 44.32 43.169998 43.959999 378400 40.121346
"2014-01-06" 43.970001 43.98 43.369999 43.68 597800 39.865784
"2014-01-07" 42.16 43.98 42.16 43.869999 1371300 40.039204
"2014-01-08" 44.02 44.360001 43.400002 43.880001 1407100 40.048328
"2014-01-09" 43.889999 44.25 43.84 44.130001 1093500 40.276489
"2014-01-10" 44.169998 46.080002 44.02 45.73 2008600 41.736786
"2014-01-13" 45.700001 47.439999 45.200001 47.040001 2278500 42.932392
"2014-01-14" 47.16 47.889999 46.91 47.799999 2338200 43.626026
"2014-01-15" 47.970001 49.189999 47.259998 47.5 1733000 43.352219
"2014-01-16" 47.279999 47.68 47.040001 47.400002 1178700 43.260963
"2014-01-17" 47.52 48.240002 47 48 1572100 43.808552
"2014-01-21" 49.380001 49.380001 47.939999 48.169998 1570400 43.963718
"2014-01-22" 48.110001 49.16 48.080002 48.509998 682200 44.274021
"2014-01-23" 48.68 48.68 47.580002 47.720001 867600 43.55302
"2014-01-24" 47.619999 47.709999 45.830002 46.84 1417500 42.749866
"2014-01-27" 45.200001 48 45.200001 46.599998 717800 42.530811
"2014-01-28" 46.77 47.880001 46.77 47.73 721700 43.562134
"2014-01-29" 47.349998 48.48 47.130001 47.779999 800900 43.607773
"2014-01-30" 47.91 49.630001 47.830002 49.419998 1247100 45.104561
"2014-01-31" 49.25 49.959999 49.029999 49.349998 2011100 45.040668
"2014-02-03" 49.349998 49.939999 47.200001 47.439999 1184800 43.297455
"2014-02-04" 47.439999 48.48 47.32 48.049999 891300 43.854198
"2014-02-05" 47.84 48.650002 47.150002 47.599998 823100 43.443493
"2014-02-06" 47.5 49.27 47.5 49.240002 1168400 44.940281
"2014-02-07" 49.330002 50.27 49.330002 49.939999 1837500 45.579151
"2014-02-10" 49.990002 50.119999 49.450001 49.84 763400 45.487892
"2014-02-11" 49.73 50.41 49.330002 49.889999 1446100 45.533527
"2014-02-12" 49.919998 51 49.73 50 1405300 45.633915
"2014-02-13" 49.98 50.439999 49.59 50.119999 695000 45.743439
"2014-02-14" 50.150002 50.25 49.59 49.630001 891700 45.296227
"2014-02-18" 49.720001 50.860001 49.720001 50.110001 2748500 45.734329
"2014-02-19" 49.84 50.34 49.029999 49.16 1076100 44.86726
"2014-02-20" 50.23 52.779999 49.099998 51.52 2623600 47.021187
"2014-02-21" 51.75 52.790001 51.75 52.369999 2198700 47.796967
"2014-02-24" 52.360001 53.110001 52.360001 52.860001 667900 48.244179
"2014-02-25" 53 54.580002 52.93 54.560001 1117600 49.79575
"2014-02-26" 54.830002 55.779999 54.18 54.66 1880100 49.887001
"2014-02-27" 54.689999 55.529999 54.209999 55.349998 1139900 50.516739
"2014-02-28" 55.09 55.32 53.82 54.349998 1198500 49.604076
"2014-03-03" 54.669998 54.93 53.080002 53.490002 659600 48.81916
"2014-03-04" 53.709999 55 53.48 54 1189900 49.28463
"2014-03-05" 53.900002 54.310001 53.380001 53.950001 395000 49.238998
"2014-03-06" 53.990002 54.099998 53.040001 53.189999 617400 48.545368
"2014-03-07" 53.439999 53.779999 52.59 53.389999 776100 48.727894
"2014-03-10" 53.200001 53.669998 52.240002 53.290001 1155300 48.636635
"2014-03-11" 53.490002 54.799999 53.450001 54.5 874700 49.740974
"2014-03-12" 54.419998 54.740002 52.77 54.279999 1255500 49.540184
"2014-03-13" 54.459999 54.709999 53.130001 53.599998 946400 48.991772
"2014-03-14" 53.619999 53.950001 53.25 53.299999 1071800 48.717556
"2014-03-17" 53.439999 53.830002 52.93 52.959999 1011700 48.406792
"2014-03-18" 52.950001 53.490002 52.709999 53.279999 880800 48.699265
"2014-03-19" 53.18 54 52.919998 53.279999 645000 48.699265
"2014-03-20" 53.41 54.220001 52.82 54.169998 628100 49.512753
"2014-03-21" 54.380001 54.810001 53.740002 53.810001 1356800 49.183723
"2014-03-24" 54 54.23 53.040001 53.470001 895600 48.872936
"2014-03-25" 53.700001 53.900002 53.169998 53.209999 708000 48.635292
"2014-03-26" 53.32 53.5 52.009998 52.040001 691100 47.565884
"2014-03-27" 51.869999 51.970001 51.189999 51.450001 492900 47.026611
"2014-03-28" 51.619999 52.439999 51.540001 52.16 346100 47.675575
"2014-03-31" 52.380001 52.580002 51.91 52.169998 334600 47.684708
"2014-04-01" 52.439999 54.060001 52.290001 53.919998 593600 49.284252
"2014-04-02" 53.919998 54.810001 53.59 54.669998 500500 49.969769
"2014-04-03" 54.77 55 54.580002 54.950001 427900 50.225693
"2014-04-04" 54.82 55.349998 53 53.73 492000 49.110588
"2014-04-07" 53.709999 54 51.529999 51.619999 1054200 47.182003
"2014-04-08" 51.34 51.779999 50.810001 51.41 1213700 46.990051
"2014-04-09" 51.459999 51.59 51.23 51.5 1212800 47.072311
"2014-04-10" 51.52 51.790001 50.119999 50.68 1488500 46.322811
"2014-04-11" 50.529999 50.900002 49.860001 50.009998 1184600 45.710426
"2014-04-14" 50.279999 50.610001 49.18 49.77 605900 45.491058
"2014-04-15" 49.880001 50.43 48.93 49.959999 419300 45.664719
"2014-04-16" 50.16 50.720001 49.84 50.23 254000 45.911495
"2014-04-17" 50.07 50.540001 49.43 50.150002 427200 45.838383
"2014-04-21" 49.98 50.650002 49.599998 50.630001 225700 46.277107
"2014-04-22" 50.709999 51.150002 50.360001 51 422500 46.615295
"2014-04-23" 50.889999 50.959999 49.98 50.400002 507800 46.066883
"2014-04-24" 50.619999 50.779999 49.720001 50.240002 659800 45.920647
"2014-04-25" 49.950001 50.389999 49.369999 49.540001 290300 45.280815
"2014-04-28" 49.84 50.080002 48.450001 48.82 605400 44.62273
"2014-04-29" 48.959999 49.43 48.459999 48.900002 442000 44.695839
"2014-04-30" 49 49.459999 48.439999 49.349998 481100 45.107155
"2014-05-01" 51 51.860001 49.48 51.25 722100 46.843826
"2014-05-02" 51.18 51.740002 50.25 50.700001 479000 46.341095
"2014-05-05" 50.279999 50.52 49.57 50.060001 413800 45.756119
"2014-05-06" 49.950001 50.16 49.549999 49.889999 596000 45.600735
"2014-05-07" 49.889999 50.32 49.34 49.93 598000 45.63728
"2014-05-08" 49.599998 50.400002 49.110001 49.360001 530600 45.116299
"2014-05-09" 49.200001 50.16 48.669998 50 489100 45.701271
"2014-05-12" 50.049999 50.84 50.049999 50.48 586100 46.140003
"2014-05-13" 50.5 50.720001 50.330002 50.48 638700 46.140003
"2014-05-14" 50.299999 50.43 49.740002 49.790001 470700 45.509331
"2014-05-15" 49.52 49.740002 47.98 48.290001 738400 44.13829
"2014-05-16" 48.32 49.43 48.150002 49.279999 719500 45.043163
"2014-05-19" 49.299999 50.360001 49.27 50.209999 653500 45.893211
"2014-05-20" 49.869999 50.540001 49.75 50.5 1543600 46.158276
"2014-05-21" 50.52 51.029999 50.400002 50.709999 338500 46.350227
"2014-05-22" 50.650002 51.84 50.32 51.490002 501100 47.063171
"2014-05-23" 51.73 52.59 51.330002 52.459999 451800 47.949776
"2014-05-27" 52.490002 52.84 52.330002 52.470001 331600 47.95892
"2014-05-28" 52.619999 53.259998 52.459999 52.939999 523700 48.388512
"2014-05-29" 52.939999 53.860001 52.939999 53.52 815600 48.91864
"2014-05-30" 53.490002 53.509998 52.330002 52.389999 400300 47.885803
"2014-06-02" 52.77 52.77 52.040001 52.07 646500 47.593307
"2014-06-03" 51.299999 52.740002 51.299999 52.41 451900 47.904079
"2014-06-04" 52.27 53.310001 52.23 53.150002 621100 48.580456
"2014-06-05" 53.200001 54.34 52.900002 54.310001 608900 49.640728
"2014-06-06" 54.43 56.09 54.369999 55.830002 965400 51.030048
"2014-06-09" 55.970001 56.810001 55.619999 56.349998 850400 51.505329
"2014-06-10" 56.240002 56.75 55.950001 56.73 618100 51.852665
"2014-06-11" 56.400002 56.419998 55.98 56.34 625600 51.496185
"2014-06-12" 56.18 56.560001 55.889999 56.119999 1780200 51.368046
"2014-06-13" 56.259998 56.259998 55.900002 56.09 545100 51.340591
"2014-06-16" 55.93 57.360001 55.84 57.130001 634300 52.292522
"2014-06-17" 56.880001 57.66 56.099998 57.25 1436700 52.402359
"2014-06-18" 57.23 57.5 57.049999 57.34 1901900 52.484749
"2014-06-19" 57.330002 57.740002 56.040001 57.27 875800 52.420677
"2014-06-20" 57.139999 57.779999 56.880001 57.619999 1265000 52.741039
"2014-06-23" 57.720001 58.290001 57.43 57.560001 384500 52.686111
"2014-06-24" 57.299999 57.57 56.490002 56.68 580300 51.880638
"2014-06-25" 56.619999 56.830002 56.040001 56.689999 503900 51.889786
"2014-06-26" 56.720001 56.779999 56.169998 56.32 336500 51.551121
"2014-06-27" 56.450001 56.450001 55.52 55.580002 1105000 50.873768
"2014-06-30" 55.52 56.75 55.419998 56.68 609900 51.880638
"2014-07-01" 56.77 57.459999 56.77 57.060001 424500 52.228455
"2014-07-02" 57 57.869999 57 57.369999 484600 52.512207
"2014-07-03" 57.459999 57.740002 57.02 57.16 138700 52.319981
"2014-07-07" 57.040001 57.040001 55.939999 56.040001 274700 51.294827
