"Index" "LEN.Open" "LEN.High" "LEN.Low" "LEN.Close" "LEN.Volume" "LEN.Adjusted"
"2007-01-03" 50.688297 51.425762 49.41003 49.783676 3860024 42.109459
"2007-01-04" 52.114059 52.310719 48.967552 49.252705 1965658 41.660332
"2007-01-05" 49.24287 49.311703 48.603737 48.829891 1925995 41.302708
"2007-01-08" 48.731564 48.731564 47.522125 47.905605 2006846 40.520897
"2007-01-09" 47.905605 48.318584 47.679447 47.964603 1317422 40.570808
"2007-01-10" 47.974434 48.407082 47.531956 48.200588 1510957 40.770409
"2007-01-11" 48.407082 49.272369 48.210423 49.105209 1832126 41.535576
"2007-01-12" 49.105209 49.783676 48.947887 49.311703 1720967 41.710255
"2007-01-16" 48.84956 49.636185 48.230087 48.888889 2225908 41.3526
"2007-01-17" 50.147491 51.386433 49.823009 51.081612 7001435 43.20731
"2007-01-18" 51.189774 52.064896 51.002949 51.179939 3371253 43.290478
"2007-01-19" 51.3176 52.792526 51.081612 52.586037 3031779 44.479843
"2007-01-22" 52.566372 52.851524 51.838741 52.605701 2164990 44.496475
"2007-01-23" 52.064896 52.930187 51.396263 52.350048 4414899 44.280224
"2007-01-24" 52.261555 52.871189 51.445427 52.733528 2119530 44.604591
"2007-01-25" 52.733528 52.753197 50.924286 51.022617 3564788 43.157406
"2007-01-26" 51.268436 51.465092 50.530972 50.845623 2239536 43.007702
"2007-01-29" 50.845623 51.514259 50.648968 51.052113 2069087 43.182369
"2007-01-30" 51.278271 51.750244 50.845623 50.963619 1631268 43.107521
"2007-01-31" 51.130775 53.706982 51.101276 53.470993 4228381 45.228371
"2007-02-01" 53.706982 54.719765 53.529991 54.100296 4524938 45.895699
"2007-02-02" 54.129795 55.594887 54.100296 55.172073 2910044 46.804943
"2007-02-05" 55.181908 55.50639 54.100296 54.562439 1513398 46.287777
"2007-02-06" 54.483776 54.542774 53.785645 54.405113 1652828 46.154293
"2007-02-07" 54.405113 54.827927 53.77581 54.139626 1097852 45.929062
"2007-02-08" 53.588985 54.464111 52.379547 52.645035 3941384 44.661152
"2007-02-09" 52.645035 52.871189 51.563423 51.828911 1794802 43.968796
"2007-02-12" 51.632252 52.114059 50.97345 51.30777 2037356 43.526676
"2007-02-13" 51.52409 52.114059 51.258602 51.878075 1910333 44.010509
"2007-02-14" 51.720749 52.576206 51.612587 51.858406 1727680 43.99382
"2007-02-15" 51.90757 52.704033 51.897739 52.310719 1433665 44.377522
"2007-02-16" 52.064896 52.114059 51.15044 52.07473 1651100 44.177322
"2007-02-20" 52.07473 52.704033 51.720749 52.222221 1557536 44.302452
"2007-02-21" 51.819077 52.07473 50.658798 51.819077 1593842 43.960449
"2007-02-22" 52.222221 52.369717 50.737465 51.091446 1853076 43.343147
"2007-02-23" 51.022617 51.022617 49.813175 50.117992 2397984 42.517353
