"Index" "KMB.Open" "KMB.High" "KMB.Low" "KMB.Close" "KMB.Volume" "KMB.Adjusted"
"2007-01-03" 65.11985 65.886864 65.004791 65.53212 1994633 36.908283
"2007-01-04" 65.627998 65.96357 65.09108 65.877274 1981804 37.102676
"2007-01-05" 65.848511 65.867691 65.369125 65.618408 2004542 36.95689
"2007-01-08" 65.52253 66.069031 65.196548 65.992332 1850491 37.167488
"2007-01-09" 66.078621 66.529243 65.704697 66.155319 2294913 37.259262
"2007-01-10" 65.953979 66.490891 65.771812 66.442955 1401375 37.42128
"2007-01-11" 66.404602 66.615532 66.1745 66.279961 1272669 37.329487
"2007-01-12" 66.107384 66.490891 66.040268 66.164909 1421088 37.264683
"2007-01-16" 66.356667 66.70182 65.627998 65.800575 2746428 37.05949
"2007-01-17" 65.867691 66.510071 65.800575 66.366249 1370502 37.378075
"2007-01-18" 67.018219 67.018219 66.040268 66.289551 1467918 37.334885
"2007-01-19" 66.433365 66.519653 65.925217 66.069031 1410866 37.210678
"2007-01-22" 66.510071 66.538834 65.273247 66.203262 2123131 37.286285
"2007-01-23" 66.078621 67.085335 66.078621 66.807289 1835263 37.626484
"2007-01-24" 66.634705 67.066154 66.404602 66.605942 1131134 37.513077
"2007-01-25" 66.529243 66.567596 65.848511 65.906036 2351444 37.118877
"2007-01-26" 65.723869 65.819748 65.33078 65.436241 2089442 36.854298
"2007-01-29" 65.340363 65.781403 65.225311 65.503357 2613237 36.892097
"2007-01-30" 65.52253 66.251198 64.870567 66.1745 1893566 37.270096
"2007-01-31" 66.203262 66.845634 66.030678 66.538834 1570132 37.475277
"2007-02-01" 66.452538 66.711411 66.222435 66.615532 1408363 37.518467
"2007-02-02" 66.615532 66.836052 66.395012 66.605942 1545100 37.513077
"2007-02-05" 66.260788 66.490891 65.953979 66.356667 1257232 37.372677
"2007-02-06" 66.356667 66.740173 66.222435 66.615532 1306462 37.518467
"2007-02-07" 66.471718 66.634705 66.021095 66.136147 1277571 37.248474
"2007-02-08" 66.059441 66.27037 65.503357 65.589645 1758185 36.940681
"2007-02-09" 65.762222 66.107384 65.369125 65.52253 1747755 36.902874
"2007-02-12" 65.388306 65.867691 65.388306 65.512939 1129152 36.897488
