"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","JPM","JPMorgan Chase","Financials","Diversified Banks","New York City, New York","1975-06-30",19617,"2000 (1799 / 1871)","company-A"
"2","USB","U.S. Bank","Financials","Diversified Banks","Minneapolis, Minnesota","",36104,"1968","company-B"
