"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","CFG","Citizens Financial Group","Financials","Regional Banks","Providence, Rhode Island","2016-01-29",759944,"1828","company-A"
"2","HBAN","Huntington Bancshares","Financials","Regional Banks","Columbus, Ohio; Detroit, Michigan","1997-08-28",49196,"1866","company-B"
