"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","CRM","Salesforce","Information Technology","Application Software","San Francisco, California","2008-09-15",1108524,"1999","company-A"
"2","PAYC","Paycom","Information Technology","Application Software","Oklahoma City, Oklahoma","2020-01-28",1590955,"1998","company-B"
