"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2012-05-25",1506307,"1997","company-A"
"2","WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","1975-03-31",107263,"1908","company-B"
