"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","GIS","General Mills","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1957-03-04",40704,"1856","company-A"
"2","HSY","Hershey's","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","1957-03-04",47111,"1894","company-B"
