"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","KLAC","KLA Corporation","Information Technology","Semiconductor Materials & Equipment","Milpitas, California","1997-09-30",319201,"1975/1977 (1997)","company-A"
"2","AMAT","Applied Materials","Information Technology","Semiconductor Materials & Equipment","Santa Clara, California","1995-03-16",6951,"1967","company-B"
