"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","LEN","Lennar","Consumer Discretionary","Homebuilding","Miami, Florida","2005-10-04",920760,"1954","company-A"
"2","PHM","PulteGroup","Consumer Discretionary","Homebuilding","Atlanta, Georgia","1984-04-30",822416,"1956","company-B"
