"Index" "EOG.Open" "EOG.High" "EOG.Low" "EOG.Close" "EOG.Volume" "EOG.Adjusted"
"2007-01-03" 30.905001 31.735001 29.605 30.33 11005800 22.955936
"2007-01-04" 30.860001 30.934999 29.879999 30.35 11306200 22.971067
"2007-01-05" 30.65 31.5 30.450001 31.34 13043600 23.720369
"2007-01-08" 31.93 32 30.645 31.125 8059600 23.557646
"2007-01-09" 30.5 30.945 30.059999 30.725 10820800 23.254896
"2007-01-10" 30.625 30.805 30.01 30.49 7194400 23.077032
"2007-01-11" 31.035 31.040001 29.855 29.98 9170600 22.691023
"2007-01-12" 30 31.219999 29.99 31.139999 7472000 23.592598
"2007-01-16" 31.059999 31.545 30.754999 31.014999 6056600 23.497908
"2007-01-17" 30.955 31.41 30.870001 31.084999 6105000 23.550938
"2007-01-18" 31.254999 31.35 30.6 30.85 4997000 23.372896
"2007-01-19" 31.200001 32.435001 31.065001 32.365002 6780000 24.520704
"2007-01-22" 32.75 33.224998 32.185001 32.465 8496400 24.596466
"2007-01-23" 32.785 34.055 32.764999 33.744999 7264200 25.566219
"2007-01-24" 33.415001 33.705002 32.845001 33.68 5309800 25.516989
"2007-01-25" 33.544998 33.544998 32.389999 32.48 6689200 24.607832
"2007-01-26" 32.799999 33.134998 32.544998 32.785 4264000 24.838909
"2007-01-29" 33.084999 33.744999 32.474998 32.514999 5342000 24.634346
"2007-01-30" 32.514999 34.235001 32.514999 34.029999 7449400 25.782154
"2007-01-31" 33.349998 34.875 33.165001 34.564999 8264800 26.187492
"2007-02-01" 34.75 34.974998 34.049999 34.794998 10007600 26.36174
"2007-02-02" 34.709999 34.77 34.02 34.345001 5581200 26.020811
"2007-02-05" 34.43 34.869999 33.93 33.974998 5881000 25.74048
"2007-02-06" 34.455002 34.465 33.345001 33.57 5581400 25.433653
"2007-02-07" 33.575001 33.855 32.98 33.275002 4512000 25.210148
"2007-02-08" 33.275002 33.404999 32.779999 33.305 6008800 25.232876
"2007-02-09" 33.419998 33.810001 33.139999 33.285 3502000 25.21772
"2007-02-12" 32.834999 33.080002 32.200001 32.52 4772600 24.638136
"2007-02-13" 32.994999 33.084999 32.540001 32.884998 5973600 24.914673
"2007-02-14" 32.994999 33.334999 32.799999 33.060001 4305600 25.047253
"2007-02-15" 32.900002 33.049999 32.355 32.895 5802600 24.922249
"2007-02-16" 32.970001 33.764999 32.955002 33.5 6502800 25.380611
"2007-02-20" 33.200001 33.310001 33 33.200001 4883800 25.153336
"2007-02-21" 33.305 33.810001 32.91 33.650002 4177400 25.494253
"2007-02-22" 33.860001 34.400002 33.665001 34.255001 5587200 25.952627
"2007-02-23" 34.505001 34.584999 33.73 33.93 3750400 25.706404
"2007-02-26" 34.200001 34.875 34.134998 34.790001 5483800 26.357952
"2007-02-27" 33.985001 34.91 33.375 33.799999 5900400 25.607901
"2007-02-28" 33.880001 34.150002 33.330002 33.869999 5409600 25.660934
"2007-03-01" 33.185001 33.970001 32.985001 33.525002 5433000 25.399549
"2007-03-02" 33.419998 33.610001 32.849998 32.959999 4252000 24.971502
"2007-03-05" 32.384998 32.924999 32 32.400002 5663800 24.547224
"2007-03-06" 32.799999 33.099998 32.610001 33.099998 5358400 25.077559
"2007-03-07" 33.09 34.150002 32.915001 33.605 5459200 25.460159
"2007-03-08" 33.775002 33.985001 33.310001 33.485001 4149000 25.369244
"2007-03-09" 33.695 33.875 33.259998 33.455002 2607800 25.346521
"2007-03-12" 33.195 33.240002 32.875 33.060001 3912600 25.047253
"2007-03-13" 33.040001 34.014999 32.845001 32.935001 5643200 24.952551
"2007-03-14" 33.224998 33.705002 32.799999 33.695 5077800 25.528357
"2007-03-15" 33.599998 33.799999 33.275002 33.365002 2961400 25.278339
"2007-03-16" 33.450001 33.525002 32.650002 32.82 5571600 24.865423
"2007-03-19" 33.220001 33.459999 33.005001 33.389999 3194600 25.297281
"2007-03-20" 33.650002 34.014999 33.375 33.965 4280400 25.732908
"2007-03-21" 34.119999 35 34.025002 34.860001 7003600 26.41099
"2007-03-22" 35.25 35.935001 35.115002 35.599998 6851800 26.971638
"2007-03-23" 35.630001 35.830002 35.34 35.724998 4214400 27.066334
"2007-03-26" 35.994999 36.299999 35.404999 36.240002 5352800 27.456518
"2007-03-27" 36.014999 36.314999 35.735001 35.985001 5519000 27.263321
"2007-03-28" 36.5 36.544998 35.549999 35.834999 5022200 27.149679
"2007-03-29" 36.125 36.200001 35.674999 35.935001 3564800 27.225447
"2007-03-30" 35.98 35.98 35.5 35.669998 5818200 27.024664
"2007-04-02" 35.740002 36.395 35.669998 36.299999 3459600 27.501966
"2007-04-03" 35.875 36.535 35.575001 36.535 3660400 27.680037
"2007-04-04" 36.27 37.224998 36.134998 37.075001 6272600 28.089151
"2007-04-05" 37.025002 37.445 36.849998 37.375 4949400 28.316437
"2007-04-09" 37.424999 37.93 37.055 37.195 4215400 28.180054
"2007-04-10" 37.299999 38.025002 37.224998 37.955002 4532200 28.755842
"2007-04-11" 37.095001 38.099998 37.095001 37.605 3712600 28.490688
"2007-04-12" 37.91 38.584999 37.665001 38.580002 3814800 29.26438
"2007-04-13" 38.490002 38.799999 38.255001 38.490002 3767400 29.196135
"2007-04-16" 38.415001 38.724998 37.794998 38.674999 4270400 29.336441
"2007-04-17" 38.75 38.855 37.790001 37.955002 5842200 28.790318
"2007-04-18" 37.790001 37.790001 37.25 37.325001 6335800 28.312428
"2007-04-19" 37.195 37.195 36.52 36.740002 4947800 27.868681
"2007-04-20" 36.790001 37.185001 36.5 36.990002 6147000 28.058323
"2007-04-23" 36.43 37.27 36.41 37.105 3109600 28.145561
"2007-04-24" 37.18 37.360001 36.965 37.195 3488800 28.213808
"2007-04-25" 37.375 38.064999 37.310001 37.700001 4303400 28.596886
"2007-04-26" 37.450001 37.505001 36.880001 37.25 4582600 28.255535
"2007-04-27" 37.075001 37.485001 36.900002 37.125 3621200 28.160715
"2007-04-30" 37.064999 37.610001 36.720001 36.720001 4358400 27.853523
"2007-05-01" 37.365002 38.66 36.900002 37.889999 11027800 28.741005
"2007-05-02" 37.959999 38.799999 37.849998 38.705002 4670800 29.359217
"2007-05-03" 38.634998 39.07 38.299999 39.009998 5868000 29.590565
"2007-05-04" 39.064999 39.330002 38.330002 38.459999 3818000 29.173355
"2007-05-07" 38.310001 38.740002 38.23 38.564999 3128200 29.253006
"2007-05-08" 38.310001 38.41 37.470001 38.375 5317800 29.108898
"2007-05-09" 38.345001 38.439999 37.634998 37.970001 4868400 28.801674
"2007-05-10" 37.865002 38.189999 37.150002 37.27 3870000 28.270716
"2007-05-11" 37.77 38.005001 37.305 37.955002 3904600 28.790318
"2007-05-14" 38.07 38.825001 38.029999 38.555 4744600 29.245436
"2007-05-15" 38.404999 38.630001 37.779999 37.900002 4159400 28.748583
"2007-05-16" 38.025002 38.150002 37.314999 37.825001 5004200 28.6917
"2007-05-17" 37.900002 38.66 37.400002 38.349998 5047400 29.089928
"2007-05-18" 37.775002 39.294998 37.775002 39.235001 4742800 29.761234
