"Index" "WST.Open" "WST.High" "WST.Low" "WST.Close" "WST.Volume" "WST.Adjusted"
"2007-01-03" 25.610001 26.125 25.200001 25.525 519600 21.904037
"2007-01-04" 25.975 26.125 25.540001 26.07 334400 22.371725
"2007-01-05" 25.620001 26 25.17 25.285 348000 21.698084
"2007-01-08" 25.344999 25.870001 25.200001 25.665001 275200 22.024179
"2007-01-09" 24.25 24.299999 22.75 23.65 1528200 20.295033
"2007-01-10" 23.424999 23.549999 22.665001 23.365 662800 20.050453
"2007-01-11" 23.5 24.26 23.5 23.705 769600 20.34222
"2007-01-12" 23.690001 24.32 23.690001 24.094999 381800 20.676897
"2007-01-16" 24.219999 24.655001 23.889999 24.030001 428400 20.62112
"2007-01-17" 23.98 24.299999 23.905001 24.030001 389200 20.62112
"2007-01-18" 23.915001 24.035 23.51 23.65 502200 20.295033
"2007-01-19" 23.65 23.9 23.49 23.825001 464000 20.445194
"2007-01-22" 23.834999 23.834999 23.25 23.584999 448800 20.294619
"2007-01-23" 23.375 23.865 23.25 23.625 336400 20.329029
"2007-01-24" 23.674999 24 23.6 23.75 516400 20.436594
"2007-01-25" 23.68 23.92 23.26 23.355 431800 20.096703
"2007-01-26" 23.355 23.49 23.045 23.299999 538000 20.049376
"2007-01-29" 23.275 23.705 23.245001 23.700001 426600 20.393568
"2007-01-30" 23.725 23.92 23.59 23.825001 327400 20.501127
"2007-01-31" 23.799999 24.495001 23.549999 24.264999 747600 20.879747
"2007-02-01" 24.285 24.514999 24.235001 24.344999 270800 20.948586
"2007-02-02" 24.375 24.76 24.375 24.635 220400 21.198126
"2007-02-05" 24.6 24.674999 24.375 24.525 194600 21.103472
"2007-02-06" 24.620001 24.625 24.285 24.405001 159000 21.000214
"2007-02-07" 24.450001 24.525 24.15 24.370001 222000 20.970097
"2007-02-08" 24.299999 24.530001 24.26 24.370001 212400 20.970097
"2007-02-09" 24.35 24.440001 23.825001 24.110001 204200 20.746368
"2007-02-12" 24.15 24.4 24.115 24.34 175400 20.944286
"2007-02-13" 24.344999 24.455 23.985001 24.15 182200 20.78079
"2007-02-14" 24.125 24.315001 23.905001 23.945 287600 20.604393
