"","Symbol","Security","GICS.Sector","GICS.Sub.Industry","Headquarters.Location","Date.added","CIK","Founded","grpID"
"1","PNR","Pentair","Industrials","Industrial Machinery & Supplies & Components","Worsley, United Kingdom","2012-10-01",77360,"1966","company-A"
"2","GWW","W. W. Grainger","Industrials","Industrial Machinery & Supplies & Components","Lake Forest, Illinois","1981-06-30",277135,"1927","company-B"
